id,artists,duration_ms,name,popularity,music_composer,release_date,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0jI6w1EhzKhYIIJ8cDP8vy,"Harris Jayaraj, Sujatha Rao",106809,O Nenjae,18,Harris Jayaraj,2020-07-28,12 B,0.484,0.263,9,-13.94,0,0.0281,0.589,0.0,0.102,0.187,102.999,audio_features,spotify:track:0jI6w1EhzKhYIIJ8cDP8vy,https://api.spotify.com/v1/tracks/0jI6w1EhzKhYIIJ8cDP8vy,https://api.spotify.com/v1/audio-analysis/0jI6w1EhzKhYIIJ8cDP8vy,106810,4
3hXX5v2JaVqDR3aeQcPAU9,Pradeep Kumar,354285,The Life of Ram,56,Govind Vasantha,2018-08-17,96 (Original Motion Picture Soundtrack),0.496,0.488,1,-9.799,0,0.0306,0.277,2.39e-06,0.183,0.347,83.945,audio_features,spotify:track:3hXX5v2JaVqDR3aeQcPAU9,https://api.spotify.com/v1/tracks/3hXX5v2JaVqDR3aeQcPAU9,https://api.spotify.com/v1/audio-analysis/3hXX5v2JaVqDR3aeQcPAU9,354286,4
3hPCWHbxe2tplcTkZByG9c,Gowri T.P.,144421,Yean,40,Govind Vasantha,2018-08-17,96 (Original Motion Picture Soundtrack),0.253,0.132,9,-12.718,0,0.035,0.992,0.0911,0.112,0.191,81.91,audio_features,spotify:track:3hPCWHbxe2tplcTkZByG9c,https://api.spotify.com/v1/tracks/3hPCWHbxe2tplcTkZByG9c,https://api.spotify.com/v1/audio-analysis/3hPCWHbxe2tplcTkZByG9c,144422,4
6dqcGrdePY7RlV2gm7hTtN,Chinmayi,295500,Vasantha Kaalangal,39,Govind Vasantha,2018-08-17,96 (Original Motion Picture Soundtrack),0.361,0.175,11,-14.443,0,0.0334,0.951,0.00782,0.0921,0.102,135.181,audio_features,spotify:track:6dqcGrdePY7RlV2gm7hTtN,https://api.spotify.com/v1/tracks/6dqcGrdePY7RlV2gm7hTtN,https://api.spotify.com/v1/audio-analysis/6dqcGrdePY7RlV2gm7hTtN,295500,4
19D5VyqRPp6C1qvVW19kfj,"Chinmayi, Pradeep Kumar",238000,Thaabangale,49,Govind Vasantha,2018-08-17,96 (Original Motion Picture Soundtrack),0.338,0.327,0,-10.631,0,0.0331,0.933,0.134,0.166,0.286,89.725,audio_features,spotify:track:19D5VyqRPp6C1qvVW19kfj,https://api.spotify.com/v1/tracks/19D5VyqRPp6C1qvVW19kfj,https://api.spotify.com/v1/audio-analysis/19D5VyqRPp6C1qvVW19kfj,238000,4
33URgXLE4IQdDSyG4zc4MY,"Chinmayi, Pradeep Kumar",221250,Iravingu Theevai,43,Govind Vasantha,2018-08-17,96 (Original Motion Picture Soundtrack),0.291,0.328,4,-11.244,0,0.0533,0.922,0.00261,0.0999,0.111,79.993,audio_features,spotify:track:33URgXLE4IQdDSyG4zc4MY,https://api.spotify.com/v1/tracks/33URgXLE4IQdDSyG4zc4MY,https://api.spotify.com/v1/audio-analysis/33URgXLE4IQdDSyG4zc4MY,221250,4
20dLgt3WQuNIVvHvUmnar8,"Govind Vasantha, Chinmayi",193267,Kaathalae Kaathalae - Version 1,52,Govind Vasantha,2018-08-17,96 (Original Motion Picture Soundtrack),0.198,0.295,4,-11.805,0,0.0379,0.912,0.00916,0.111,0.0593,94.932,audio_features,spotify:track:20dLgt3WQuNIVvHvUmnar8,https://api.spotify.com/v1/tracks/20dLgt3WQuNIVvHvUmnar8,https://api.spotify.com/v1/audio-analysis/20dLgt3WQuNIVvHvUmnar8,193268,4
7ciXqAPQXQVLrl5vGYmlh4,"Govind Vasantha, Chinmayi, Bhadra Rajin, M. Nassar",434839,Anthaathi,44,Govind Vasantha,2018-08-17,96 (Original Motion Picture Soundtrack),0.379,0.382,9,-11.39,0,0.0737,0.292,0.00132,0.126,0.227,94.908,audio_features,spotify:track:7ciXqAPQXQVLrl5vGYmlh4,https://api.spotify.com/v1/tracks/7ciXqAPQXQVLrl5vGYmlh4,https://api.spotify.com/v1/audio-analysis/7ciXqAPQXQVLrl5vGYmlh4,434840,4
0a7Xd3hfN6jUb0pVEh1Zf1,"Govind Vasantha, Kalyani Menon, Chinmayi",193267,Kaathalae Kaathalae - Version 2,39,Govind Vasantha,2018-08-17,96 (Original Motion Picture Soundtrack),0.307,0.258,4,-11.738,0,0.0315,0.876,0.0016,0.106,0.109,94.696,audio_features,spotify:track:0a7Xd3hfN6jUb0pVEh1Zf1,https://api.spotify.com/v1/tracks/0a7Xd3hfN6jUb0pVEh1Zf1,https://api.spotify.com/v1/audio-analysis/0a7Xd3hfN6jUb0pVEh1Zf1,193268,4
5APtMcc2hQv61LqoOrMv0O,"Harris Jayaraj, Shail Hada, Sudha Ragunathan, Andrea Jeremiah",312586,Yeno Yeno Panithuli,41,Harris Jayaraj,2009-08-09,Aadhavan (Original Motion Picture Soundtrack),0.898,0.517,2,-10.897,0,0.0375,0.17,0.00549,0.0695,0.786,106.996,audio_features,spotify:track:5APtMcc2hQv61LqoOrMv0O,https://api.spotify.com/v1/tracks/5APtMcc2hQv61LqoOrMv0O,https://api.spotify.com/v1/audio-analysis/5APtMcc2hQv61LqoOrMv0O,312587,4
